"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2019","4,075","4,131","4,146","4,053","206.27K","-1.71%"
"Mar 21, 2019","4,146","4,111","4,163","4,102","115.81K","0.66%"
"Mar 20, 2019","4,119","4,097","4,159","4,051","220.38K","2.01%"
"Mar 19, 2019","4,038","4,062","4,086","4,021","123.64K","-0.49%"
"Mar 18, 2019","4,058","4,030","4,064","3,982","174.53K","0.50%"
"Mar 15, 2019","4,038","4,069","4,077","3,992","195.46K","-0.57%"
"Mar 14, 2019","4,061","4,060","4,085","4,026","173.90K","0.59%"
"Mar 13, 2019","4,037","3,982","4,054","3,974","167.33K","1.69%"
"Mar 12, 2019","3,970","3,981","4,014","3,954","196.83K","0.08%"
"Mar 11, 2019","3,967","3,900","3,985","3,900","189.39K","2.08%"
"Mar 08, 2019","3,886","3,961","3,961","3,823","216.96K","-2.41%"
"Mar 07, 2019","3,982","3,954","3,994","3,935","185.18K","1.12%"
"Mar 06, 2019","3,938","3,971","3,977","3,893","218.87K","-1.67%"
"Mar 05, 2019","4,005","3,995","4,044","3,966","204.35K","0.48%"
"Mar 04, 2019","3,986","3,990","4,050","3,977","110.48K","0.33%"
"Mar 01, 2019","3,973","4,074","4,117","3,952","221.14K","-2.09%"
"Feb 28, 2019","4,058","4,068","4,082","4,012","178.43K","-0.76%"
"Feb 27, 2019","4,089","3,976","4,098","3,976","181.85K","3.47%"
"Feb 26, 2019","3,952","3,938","3,994","3,927","214.11K","0.51%"
"Feb 25, 2019","3,932","4,073","4,093","3,916","229.76K","-3.75%"
"Feb 22, 2019","4,085","4,067","4,126","4,057","172.82K","0.59%"
"Feb 21, 2019","4,061","4,086","4,110","4,042","188.88K","-0.68%"
"Feb 20, 2019","4,089","4,059","4,100","3,985","191.29K","2.15%"
"Feb 19, 2019","4,003","3,990","4,019","3,951","156.48K","-0.20%"
"Feb 18, 2019","4,011","3,944","4,028","3,944","149.03K","1.52%"
"Feb 15, 2019","3,951","3,888","3,979","3,874","188.49K","2.17%"
"Feb 14, 2019","3,867","3,832","3,890","3,781","236.29K","0.62%"
"Feb 13, 2019","3,843","3,787","3,874","3,773","223.76K","1.61%"
"Feb 12, 2019","3,782","3,764","3,824","3,729","219.77K","1.69%"
"Feb 11, 2019","3,719","3,726","3,754","3,651","215.43K","-1.09%"
"Feb 08, 2019","3,760","3,738","3,785","3,714","183.25K","0.89%"
"Feb 07, 2019","3,727","3,875","3,879","3,702","243.58K","-3.97%"
"Feb 06, 2019","3,881","3,846","3,893","3,796","220.54K","0.94%"
"Feb 05, 2019","3,845","3,935","3,970","3,836","242.76K","-1.89%"
"Feb 04, 2019","3,919","3,959","4,009","3,833","202.40K","-1.11%"
"Feb 01, 2019","3,963","3,839","3,989","3,814","191.76K","2.43%"
"Jan 31, 2019","3,869","3,891","3,938","3,848","179.04K","-0.95%"
"Jan 30, 2019","3,906","3,828","3,923","3,795","189.76K","2.25%"
"Jan 29, 2019","3,820","3,716","3,851","3,700","208.10K","3.75%"
"Jan 28, 2019","3,682","3,802","3,806","3,662","167.40K","-3.41%"
"Jan 25, 2019","3,812","3,822","3,842","3,776","154.60K","0.55%"
"Jan 24, 2019","3,791","3,738","3,805","3,711","214.86K","1.34%"
"Jan 23, 2019","3,741","3,770","3,839","3,708","212.62K","-0.21%"
"Jan 22, 2019","3,749","3,855","3,858","3,724","194.18K","-3.28%"
"Jan 21, 2019","3,876","3,875","3,902","3,838","131.35K","1.55%"
"Jan 18, 2019","3,817","3,738","3,834","3,724","152.64K","3.50%"
"Jan 17, 2019","3,688","3,708","3,718","3,631","197.44K","0.05%"
"Jan 16, 2019","3,686","3,697","3,745","3,645","229.82K","-0.11%"
"Jan 15, 2019","3,690","3,624","3,712","3,607","177.72K","1.71%"
"Jan 14, 2019","3,628","3,606","3,670","3,576","243.57K","-0.11%"
"Jan 11, 2019","3,632","3,693","3,764","3,611","233.40K","-1.25%"
"Jan 10, 2019","3,678","3,655","3,719","3,623","223.14K","-0.22%"
"Jan 09, 2019","3,686","3,525","3,705","3,525","275.22K","6.10%"
"Jan 08, 2019","3,474","3,422","3,513","3,401","256.44K","0.93%"
"Jan 07, 2019","3,442","3,381","3,481","3,374","278.24K","2.81%"
"Jan 04, 2019","3,348","3,314","3,439","3,304","280.10K","1.92%"
"Jan 03, 2019","3,285","3,277","3,340","3,202","262.19K","-1.29%"
"Jan 02, 2019","3,328","3,168","3,360","3,114","284.91K","4.75%"
"Jan 01, 2019","3,177","3,208","3,212","3,152","21.47K","0.22%"
"Dec 31, 2018","3,170","3,207","3,257","3,125","216.51K","-0.47%"
"Dec 28, 2018","3,185","3,221","3,237","3,124","236.11K","0.06%"
"Dec 27, 2018","3,183","3,220","3,274","3,146","259.30K","-0.96%"
"Dec 26, 2018","3,214","3,015","3,245","2,993","289.66K","4.45%"
"Dec 24, 2018","3,077","3,245","3,259","3,042","196.50K","-4.91%"
"Dec 21, 2018","3,236","3,256","3,282","3,186","233.24K","-0.28%"
"Dec 20, 2018","3,245","3,350","3,350","3,212","245.37K","-3.99%"
"Dec 19, 2018","3,380","3,340","3,420","3,275","217.54K","0.15%"
"Dec 18, 2018","3,375","3,580","3,580","3,346","189.59K","-6.30%"
"Dec 17, 2018","3,602","3,730","3,730","3,576","172.60K","-2.38%"
"Dec 14, 2018","3,690","3,764","3,799","3,673","157.77K","-0.70%"
"Dec 13, 2018","3,716","3,713","3,750","3,616","197.10K","-0.88%"
"Dec 12, 2018","3,749","3,776","3,815","3,721","181.60K","-0.13%"
"Dec 11, 2018","3,754","3,737","3,800","3,656","167.73K","-0.32%"
"Dec 10, 2018","3,766","3,808","3,808","3,696","177.47K","-2.16%"
"Dec 07, 2018","3,849","3,630","3,864","3,586","280.86K","6.36%"
"Dec 06, 2018","3,619","3,760","3,793","3,559","347.48K","-4.81%"
"Dec 05, 2018","3,802","3,765","3,852","3,692","196.12K","0.90%"
"Dec 04, 2018","3,768","3,777","3,867","3,727","197.72K","1.10%"
"Dec 03, 2018","3,727","3,606","3,790","3,606","183.42K","4.22%"
"Nov 30, 2018","3,576","3,613","3,633","3,478","209.88K","-1.57%"
"Nov 29, 2018","3,633","3,568","3,648","3,464","215.85K","0.03%"
"Nov 28, 2018","3,632","3,657","3,724","3,590","198.14K","0.03%"
"Nov 27, 2018","3,631","3,668","3,726","3,582","194.91K","-1.28%"
"Nov 26, 2018","3,678","3,595","3,712","3,595","160.42K","1.52%"
"Nov 23, 2018","3,623","3,806","3,806","3,574","152.29K","-5.23%"
"Nov 22, 2018","3,823","3,892","3,903","3,810","131.97K","-3.19%"
"Nov 21, 2018","3,949","3,872","3,987","3,845","170.75K","2.46%"
"Nov 20, 2018","3,854","4,083","4,118","3,826","221.00K","-5.31%"
"Nov 19, 2018","4,070","4,120","4,153","3,956","160.43K","-0.10%"
"Nov 16, 2018","4,074","4,079","4,159","4,014","128.13K","0.10%"
"Nov 15, 2018","4,070","4,054","4,119","4,011","140.71K","-0.46%"
"Nov 14, 2018","4,089","4,030","4,145","3,968","204.66K","-0.34%"
"Nov 13, 2018","4,103","4,333","4,333","4,065","180.67K","-6.81%"
"Nov 12, 2018","4,403","4,424","4,481","4,373","126.01K","0.94%"
"Nov 09, 2018","4,362","4,414","4,423","4,297","138.89K","-1.56%"
"Nov 08, 2018","4,431","4,516","4,516","4,404","90.93K","-2.74%"
"Nov 07, 2018","4,556","4,525","4,576","4,525","12.12K","1.15%"
"Nov 06, 2018","4,504","4,600","4,624","4,482","127.08K","-2.81%"
"Nov 05, 2018","4,634","4,606","4,684","4,567","108.83K","0.54%"
"Nov 02, 2018","4,609","4,649","4,665","4,559","143.84K","-1.14%"
"Nov 01, 2018","4,662","4,860","4,860","4,630","168.04K","-4.70%"
"Oct 31, 2018","4,892","4,927","4,959","4,873","135.40K","0.04%"
"Oct 30, 2018","4,890","4,965","4,965","4,819","146.75K","-1.33%"
"Oct 29, 2018","4,956","4,963","4,979","4,907","110.25K","0.10%"
"Oct 26, 2018","4,951","4,902","4,980","4,868","134.82K","0.08%"
"Oct 25, 2018","4,947","4,905","4,968","4,853","120.01K","0.18%"
"Oct 24, 2018","4,938","4,889","4,978","4,853","149.23K","1.04%"
"Oct 23, 2018","4,887","5,124","5,128","4,847","154.55K","-4.31%"
"Oct 22, 2018","5,107","5,110","5,135","5,054","104.87K","0.39%"
"Oct 19, 2018","5,087","5,054","5,124","5,033","86.17K","0.28%"
"Oct 18, 2018","5,073","5,125","5,132","5,044","77.17K","-1.19%"
"Oct 17, 2018","5,134","5,287","5,310","5,118","142.56K","-2.80%"
"Oct 16, 2018","5,282","5,310","5,318","5,214","116.74K","0.17%"
"Oct 15, 2018","5,273","5,290","5,334","5,232","129.24K","0.57%"
"Oct 12, 2018","5,243","5,268","5,318","5,211","125.51K","-0.23%"
"Oct 11, 2018","5,255","5,401","5,401","5,250","146.58K","-3.65%"
"Oct 10, 2018","5,454","5,545","5,576","5,414","131.01K","-2.15%"
"Oct 09, 2018","5,574","5,527","5,595","5,488","113.76K","1.46%"
"Oct 08, 2018","5,494","5,473","5,513","5,423","97.44K","-0.94%"
"Oct 05, 2018","5,546","5,495","5,591","5,469","141.30K","1.08%"
"Oct 04, 2018","5,487","5,631","5,644","5,465","124.49K","-2.82%"
"Oct 03, 2018","5,646","5,537","5,669","5,457","145.11K","2.64%"
"Oct 01, 2018","5,501","5,344","5,512","5,325","124.25K","3.11%"
"Sep 28, 2018","5,335","5,251","5,356","5,221","116.31K","1.83%"
"Sep 27, 2018","5,239","5,250","5,283","5,212","107.06K","0.52%"
"Sep 26, 2018","5,212","5,258","5,274","5,198","101.10K","-1.12%"
"Sep 25, 2018","5,271","5,284","5,305","5,242","109.88K","-0.04%"
"Sep 24, 2018","5,273","5,150","5,307","5,150","134.43K","2.47%"
"Sep 21, 2018","5,146","5,073","5,195","5,055","173.76K","1.64%"
"Sep 20, 2018","5,063","5,084","5,136","5,054","96.31K","-1.73%"
"Sep 19, 2018","5,152","5,066","5,163","5,063","123.55K","1.92%"
"Sep 18, 2018","5,055","4,983","5,118","4,962","144.67K","1.20%"
"Sep 17, 2018","4,995","4,987","5,049","4,965","122.28K","0.91%"
"Sep 14, 2018","4,950","4,930","5,025","4,888","143.40K","0.65%"
"Sep 13, 2018","4,918","5,072","5,072","4,903","91.14K","-3.28%"
"Sep 12, 2018","5,085","5,050","5,140","5,020","155.09K","0.81%"
"Sep 11, 2018","5,044","4,905","5,054","4,891","138.25K","2.60%"
"Sep 10, 2018","4,916","4,922","4,970","4,894","125.84K","0.68%"
"Sep 07, 2018","4,883","4,898","4,898","4,808","123.01K","-0.02%"
"Sep 06, 2018","4,884","4,948","4,972","4,828","146.04K","-1.01%"
"Sep 05, 2018","4,934","4,972","4,989","4,924","133.55K","-1.56%"
"Sep 04, 2018","5,012","5,011","5,114","4,988","159.16K","0.00%"
"Sep 03, 2018","5,012","4,941","5,018","4,928","84.52K","1.07%"
"Aug 31, 2018","4,959","5,009","5,009","4,945","97.54K","-0.80%"
"Aug 30, 2018","4,999","4,938","5,013","4,930","97.46K","1.48%"
"Aug 29, 2018","4,926","4,833","4,935","4,827","125.35K","2.43%"
"Aug 28, 2018","4,809","4,831","4,867","4,796","104.37K","-0.35%"
"Aug 27, 2018","4,826","4,818","4,838","4,797","85.93K","0.46%"
"Aug 24, 2018","4,804","4,790","4,857","4,779","93.84K","0.63%"
"Aug 23, 2018","4,774","4,762","4,788","4,734","97.98K","0.23%"
"Aug 22, 2018","4,763","4,633","4,773","4,633","102.91K","3.16%"
"Aug 21, 2018","4,617","4,580","4,664","4,571","100.21K","-0.35%"
"Aug 20, 2018","4,633","4,571","4,640","4,571","90.02K","0.76%"
"Aug 17, 2018","4,598","4,581","4,657","4,577","95.02K","0.33%"
"Aug 16, 2018","4,583","4,670","4,670","4,525","105.42K","-2.74%"
"Aug 14, 2018","4,712","4,670","4,783","4,670","141.72K","1.49%"
"Aug 13, 2018","4,643","4,680","4,737","4,612","129.74K","-0.66%"
"Aug 10, 2018","4,674","4,608","4,679","4,564","102.46K","1.56%"
"Aug 09, 2018","4,602","4,585","4,635","4,566","106.99K","0.70%"
"Aug 08, 2018","4,570","4,767","4,767","4,556","151.64K","-4.03%"
"Aug 07, 2018","4,762","4,758","4,798","4,737","103.77K","-0.10%"
"Aug 06, 2018","4,767","4,717","4,812","4,713","115.45K","1.73%"
"Aug 03, 2018","4,686","4,710","4,764","4,653","118.25K","-1.22%"
"Aug 02, 2018","4,744","4,642","4,764","4,592","126.48K","2.48%"
"Aug 01, 2018","4,629","4,710","4,710","4,610","119.79K","-2.22%"
"Jul 31, 2018","4,734","4,815","4,815","4,701","107.63K","-1.87%"
"Jul 30, 2018","4,824","4,709","4,842","4,709","103.49K","2.33%"
"Jul 27, 2018","4,714","4,795","4,796","4,695","104.75K","-1.79%"
"Jul 26, 2018","4,800","4,780","4,812","4,741","101.19K","0.46%"
"Jul 25, 2018","4,778","4,747","4,798","4,701","133.15K","0.70%"
"Jul 24, 2018","4,745","4,678","4,778","4,667","121.36K","1.17%"
"Jul 23, 2018","4,690","4,695","4,790","4,673","119.10K","-0.36%"
"Jul 20, 2018","4,707","4,719","4,756","4,666","105.18K","-1.92%"
"Jul 19, 2018","4,799","4,720","4,830","4,666","102.52K","2.13%"
"Jul 18, 2018","4,699","4,629","4,705","4,592","106.17K","0.64%"
"Jul 17, 2018","4,669","4,654","4,682","4,585","132.44K","0.58%"
"Jul 16, 2018","4,642","4,858","4,858","4,631","109.07K","-4.95%"
"Jul 13, 2018","4,884","4,803","4,907","4,783","105.54K","2.18%"
"Jul 12, 2018","4,780","4,875","4,894","4,737","161.00K","-2.45%"
"Jul 11, 2018","4,900","5,055","5,084","4,878","140.77K","-3.37%"
"Jul 10, 2018","5,071","5,079","5,132","5,060","118.06K","0.44%"
"Jul 09, 2018","5,049","5,090","5,098","5,014","118.24K","-0.51%"
"Jul 06, 2018","5,075","5,012","5,089","4,971","126.56K","0.71%"
"Jul 05, 2018","5,039","5,093","5,158","5,026","132.73K","-1.70%"
"Jul 04, 2018","5,126","5,118","5,140","5,047","96.86K","0.91%"
"Jul 03, 2018","5,080","5,131","5,173","4,995","160.91K","-0.57%"
"Jul 02, 2018","5,109","5,036","5,118","5,019","128.16K","0.45%"
"Jun 29, 2018","5,086","5,045","5,105","5,010","102.69K","0.22%"
"Jun 28, 2018","5,075","5,020","5,109","4,981","140.32K","0.93%"
"Jun 27, 2018","5,028","4,844","5,046","4,844","149.30K","4.42%"
"Jun 26, 2018","4,815","4,667","4,837","4,627","170.43K","3.37%"
"Jun 25, 2018","4,658","4,656","4,735","4,636","130.94K","-0.30%"
"Jun 22, 2018","4,672","4,506","4,680","4,488","179.27K","3.91%"
"Jun 21, 2018","4,496","4,479","4,504","4,385","140.18K","0.22%"
"Jun 20, 2018","4,486","4,445","4,529","4,430","161.96K","1.52%"
"Jun 19, 2018","4,419","4,486","4,486","4,389","94.31K","-1.38%"
"Jun 18, 2018","4,481","4,401","4,489","4,334","116.38K","1.04%"
"Jun 15, 2018","4,435","4,545","4,575","4,373","120.13K","-1.82%"
"Jun 14, 2018","4,517","4,502","4,540","4,487","94.22K","0.24%"
"Jun 13, 2018","4,506","4,469","4,518","4,454","109.04K","0.63%"
"Jun 12, 2018","4,478","4,475","4,523","4,444","103.30K","0.13%"
"Jun 11, 2018","4,472","4,425","4,478","4,375","108.08K","0.61%"
"Jun 08, 2018","4,445","4,452","4,479","4,407","99.21K","0.05%"
"Jun 07, 2018","4,443","4,360","4,453","4,350","104.09K","2.33%"
"Jun 06, 2018","4,342","4,402","4,426","4,305","137.59K","-1.14%"
"Jun 05, 2018","4,392","4,369","4,399","4,316","123.47K","0.94%"
"Jun 04, 2018","4,351","4,409","4,435","4,340","116.37K","-1.74%"
"Jun 01, 2018","4,428","4,507","4,532","4,417","120.72K","-1.97%"
"May 31, 2018","4,517","4,609","4,613","4,500","131.57K","-2.10%"
"May 30, 2018","4,614","4,500","4,628","4,482","112.91K","1.92%"
"May 29, 2018","4,527","4,527","4,577","4,485","129.29K","0.42%"
"May 28, 2018","4,508","4,580","4,580","4,465","98.65K","-1.94%"
"May 25, 2018","4,597","4,831","4,834","4,581","147.81K","-5.39%"
"May 24, 2018","4,859","4,905","4,915","4,832","104.89K","-1.10%"
"May 23, 2018","4,913","4,919","4,947","4,885","108.53K","-0.32%"
"May 22, 2018","4,929","4,948","4,977","4,914","101.84K","0.20%"
"May 21, 2018","4,919","4,889","4,927","4,852","85.77K","1.32%"
"May 18, 2018","4,855","4,852","4,880","4,827","86.88K","0.48%"
"May 17, 2018","4,832","4,840","4,899","4,822","116.21K","0.25%"
"May 16, 2018","4,820","4,845","4,845","4,792","112.84K","-0.62%"
"May 15, 2018","4,850","4,796","4,889","4,782","146.92K","1.17%"
"May 14, 2018","4,794","4,790","4,815","4,732","91.75K","0.02%"
"May 11, 2018","4,793","4,786","4,824","4,766","97.43K","0.76%"
"May 10, 2018","4,757","4,825","4,842","4,743","116.67K","-0.88%"
"May 09, 2018","4,799","4,655","4,821","4,655","134.56K","3.81%"
"May 08, 2018","4,623","4,732","4,732","4,560","195.02K","-2.65%"
"May 07, 2018","4,749","4,680","4,765","4,680","104.63K","1.74%"
"May 04, 2018","4,668","4,564","4,678","4,560","140.19K","2.12%"
"May 03, 2018","4,571","4,516","4,578","4,492","132.65K","1.31%"
"May 02, 2018","4,512","4,510","4,530","4,475","143.78K","0.56%"
"May 01, 2018","4,487","4,566","4,566","4,472","83.95K","-2.09%"
"Apr 30, 2018","4,583","4,516","4,610","4,472","161.28K","0.79%"
"Apr 27, 2018","4,547","4,538","4,563","4,520","97.59K","-0.24%"
"Apr 26, 2018","4,558","4,576","4,596","4,534","128.88K","-0.11%"
"Apr 25, 2018","4,563","4,524","4,575","4,507","146.26K","0.73%"
"Apr 24, 2018","4,530","4,579","4,617","4,511","141.82K","-0.77%"
"Apr 23, 2018","4,565","4,543","4,582","4,468","126.20K","0.75%"
"Apr 20, 2018","4,531","4,529","4,546","4,486","116.10K","0.80%"
"Apr 19, 2018","4,495","4,490","4,578","4,483","102.74K","0.56%"
"Apr 18, 2018","4,470","4,365","4,493","4,365","121.96K","2.81%"
"Apr 17, 2018","4,348","4,351","4,378","4,303","114.01K","-0.07%"
"Apr 16, 2018","4,351","4,385","4,385","4,326","111.55K","-1.14%"
"Apr 13, 2018","4,401","4,364","4,419","4,349","141.17K","0.89%"
"Apr 12, 2018","4,362","4,354","4,394","4,308","149.95K","0.18%"
"Apr 11, 2018","4,354","4,255","4,396","4,243","200.34K","2.50%"
"Apr 10, 2018","4,248","4,133","4,254","4,133","147.93K","3.21%"
"Apr 09, 2018","4,116","4,041","4,128","4,034","133.31K","2.16%"
"Apr 06, 2018","4,029","4,101","4,130","4,015","170.14K","-2.09%"
"Apr 05, 2018","4,115","4,128","4,162","4,098","150.18K","0.10%"
"Apr 04, 2018","4,111","4,119","4,128","4,043","192.61K","-0.39%"
"Apr 03, 2018","4,127","4,103","4,144","4,098","122.19K","0.36%"
"Apr 02, 2018","4,112","4,246","4,255","4,104","152.80K","-2.88%"
"Mar 29, 2018","4,234","4,183","4,245","4,177","86.11K","1.17%"
"Mar 28, 2018","4,185","4,223","4,238","4,155","174.96K","-1.11%"
"Mar 27, 2018","4,232","4,261","4,305","4,226","148.94K","-0.35%"
"Mar 26, 2018","4,247","4,270","4,279","4,222","133.90K","-0.45%"
"Mar 23, 2018","4,266","4,220","4,274","4,195","153.81K","1.55%"
"Mar 22, 2018","4,201","4,245","4,259","4,194","139.07K","-1.18%"
"Mar 21, 2018","4,251","4,164","4,259","4,155","162.71K","2.21%"
"Mar 20, 2018","4,159","4,079","4,185","4,073","170.09K","2.97%"
"Mar 19, 2018","4,039","4,033","4,053","3,992","101.56K","-0.27%"
"Mar 16, 2018","4,050","3,982","4,057","3,968","130.80K","1.66%"
"Mar 15, 2018","3,984","3,960","3,998","3,944","144.37K","0.91%"
"Mar 14, 2018","3,948","3,935","3,975","3,902","212.12K","0.74%"
"Mar 13, 2018","3,919","3,979","4,014","3,906","191.14K","-1.46%"
"Mar 12, 2018","3,977","4,036","4,039","3,945","137.29K","-1.00%"
"Mar 09, 2018","4,017","3,934","4,041","3,921","144.13K","1.88%"
"Mar 08, 2018","3,943","3,975","3,998","3,920","148.94K","-0.43%"
"Mar 07, 2018","3,960","4,058","4,070","3,942","212.63K","-2.54%"
"Mar 06, 2018","4,063","4,080","4,110","4,041","152.20K","-0.29%"
"Mar 05, 2018","4,075","4,006","4,088","3,990","157.03K","2.00%"
"Mar 02, 2018","3,995","3,981","4,003","3,933","109.71K","0.30%"
"Mar 01, 2018","3,983","4,065","4,065","3,944","193.47K","-2.69%"
"Feb 28, 2018","4,093","4,105","4,149","4,032","193.28K","-0.70%"
"Feb 27, 2018","4,122","4,149","4,160","4,093","140.69K","-0.79%"
"Feb 26, 2018","4,155","4,130","4,172","4,093","128.37K","0.73%"
"Feb 23, 2018","4,125","4,109","4,141","4,044","119.70K","0.95%"
"Feb 22, 2018","4,086","3,995","4,105","3,974","163.24K","2.18%"
"Feb 21, 2018","3,999","4,019","4,019","3,961","126.55K","-0.87%"
"Feb 20, 2018","4,034","4,020","4,060","4,001","142.76K","-0.07%"
"Feb 19, 2018","4,037","3,995","4,048","3,995","80.16K","2.44%"
"Feb 16, 2018","3,941","3,937","3,972","3,892","114.54K","0.77%"
"Feb 15, 2018","3,911","3,850","3,933","3,818","169.22K","2.30%"
"Feb 14, 2018","3,823","3,800","3,850","3,737","181.74K","0.26%"
"Feb 13, 2018","3,813","3,833","3,833","3,753","107.11K","-0.75%"
"Feb 12, 2018","3,842","3,817","3,912","3,817","149.45K","0.92%"
"Feb 09, 2018","3,807","3,920","3,920","3,795","150.41K","-3.15%"
"Feb 08, 2018","3,931","3,968","3,989","3,909","168.39K","-0.71%"
"Feb 07, 2018","3,959","4,109","4,109","3,948","214.45K","-3.42%"
"Feb 06, 2018","4,099","4,094","4,140","4,065","161.06K","-0.10%"
"Feb 05, 2018","4,103","4,166","4,197","4,086","150.25K","-1.98%"
"Feb 02, 2018","4,186","4,200","4,248","4,141","141.62K","-0.21%"
"Feb 01, 2018","4,195","4,120","4,212","4,120","141.14K","2.02%"
"Jan 31, 2018","4,112","4,090","4,122","4,063","137.03K","0.15%"
"Jan 30, 2018","4,106","4,149","4,153","4,092","119.80K","-1.70%"
"Jan 29, 2018","4,177","4,210","4,271","4,142","109.77K","-0.31%"
"Jan 25, 2018","4,190","4,158","4,229","4,158","121.59K","1.31%"
"Jan 24, 2018","4,136","4,107","4,163","4,100","126.96K","0.63%"
"Jan 23, 2018","4,110","4,075","4,132","4,069","114.92K","1.61%"
"Jan 22, 2018","4,045","4,063","4,098","4,033","107.78K","0.20%"
"Jan 19, 2018","4,037","4,080","4,080","4,011","94.96K","-1.25%"
"Jan 18, 2018","4,088","4,100","4,107","4,052","110.14K","0.07%"
"Jan 17, 2018","4,085","4,074","4,097","4,043","94.66K","-0.02%"
"Jan 16, 2018","4,086","4,107","4,128","4,060","111.37K","-0.73%"
"Jan 15, 2018","4,116","4,088","4,122","4,066","81.59K","1.25%"
"Jan 12, 2018","4,065","4,083","4,083","4,007","116.56K","-0.85%"
"Jan 11, 2018","4,100","4,040","4,123","4,040","123.58K","1.59%"
"Jan 10, 2018","4,036","4,016","4,059","4,016","114.86K","0.82%"
"Jan 09, 2018","4,003","3,927","4,010","3,927","122.91K","2.48%"
"Jan 08, 2018","3,906","3,900","3,933","3,892","93.95K","0.49%"
"Jan 05, 2018","3,887","3,922","3,929","3,866","102.58K","-0.87%"
"Jan 04, 2018","3,921","3,910","3,950","3,903","110.54K","0.46%"
"Jan 03, 2018","3,903","3,834","3,909","3,827","114.98K","2.07%"
"Jan 02, 2018","3,824","3,866","3,866","3,817","100.30K","-0.13%"
"Jan 01, 2018","3,829","3,858","3,858","3,782","15.27K","-0.55%"
"Dec 29, 2017","3,850","3,832","3,863","3,826","85.95K","0.79%"
"Dec 28, 2017","3,820","3,822","3,842","3,801","72.86K","0.05%"
"Dec 27, 2017","3,818","3,823","3,844","3,807","94.69K","-0.39%"
"Dec 26, 2017","3,833","3,741","3,838","3,738","110.48K","2.57%"
"Dec 22, 2017","3,737","3,734","3,745","3,710","77.75K","0.13%"
"Dec 21, 2017","3,732","3,722","3,740","3,693","110.33K","0.43%"
"Dec 20, 2017","3,716","3,704","3,722","3,682","92.74K","0.49%"
"Dec 19, 2017","3,698","3,686","3,702","3,668","95.85K","1.37%"
"Dec 18, 2017","3,648","3,681","3,712","3,642","91.51K","-0.57%"
"Dec 15, 2017","3,669","3,660","3,684","3,648","107.95K","0.49%"
"Dec 14, 2017","3,651","3,651","3,659","3,601","136.39K","-0.14%"
"Dec 13, 2017","3,656","3,700","3,724","3,643","135.48K","-0.98%"
"Dec 12, 2017","3,692","3,724","3,778","3,682","146.23K","-0.75%"
"Dec 11, 2017","3,720","3,677","3,738","3,661","125.03K","0.76%"
"Dec 08, 2017","3,692","3,658","3,724","3,646","129.36K","0.96%"
